,ST,STATEFP,immigrants
0,6,1.0,5457
1,6,2.0,5688
2,6,4.0,34505
3,6,5.0,3530
4,6,8.0,20343
5,6,9.0,4787
6,6,10.0,1127
7,6,11.0,5274
8,6,12.0,26333
9,6,13.0,10833
10,6,15.0,12635
11,6,16.0,5822
12,6,17.0,23211
13,6,18.0,8086
14,6,19.0,2908
15,6,20.0,4544
16,6,21.0,3689
17,6,22.0,4913
18,6,23.0,2133
19,6,24.0,10333
20,6,25.0,14209
21,6,26.0,10677
22,6,27.0,7591
23,6,28.0,2950
24,6,29.0,7358
25,6,30.0,2713
26,6,31.0,2219
27,6,32.0,26843
28,6,33.0,1204
29,6,34.0,11621
30,6,35.0,6029
31,6,36.0,35607
32,6,37.0,12209
33,6,38.0,1222
34,6,39.0,9914
35,6,40.0,6209
36,6,41.0,19523
37,6,42.0,13968
38,6,44.0,1955
39,6,45.0,4303
40,6,46.0,1100
41,6,47.0,6214
42,6,48.0,38263
43,6,49.0,11255
44,6,50.0,722
45,6,51.0,15996
46,6,53.0,31766
47,6,54.0,752
48,6,55.0,6416
49,6,56.0,1767
